"feature","coefficient"
"COSMIC_ID_X906813",-0.00840348327325386
"COSMIC_ID_X906814",-0.241663505221668
"COSMIC_ID_X906817",1.26118370245552
"COSMIC_ID_X906818",0.195724773915318
"COSMIC_ID_X906820",-0.543136384951075
"COSMIC_ID_X906821",-0.272266535272156
"COSMIC_ID_X906824",-0.222862888322919
"COSMIC_ID_X906825",-0.640733549084991
"COSMIC_ID_X906826",1.21972018709113
"COSMIC_ID_X906827",-0.0865663074009826
"COSMIC_ID_X906828",-0.550888896840051
"COSMIC_ID_X906830",0.440654043608012
"COSMIC_ID_X906831",0.00795918079443052
"COSMIC_ID_X906832",0.290488052042322
"COSMIC_ID_X906833",-0.152609278296028
"COSMIC_ID_X906834",-0.910131701975572
"COSMIC_ID_X906835",1.74789113994558
"COSMIC_ID_X906836",-0.914556483849447
"COSMIC_ID_X906837",-0.66506473056745
"COSMIC_ID_X906838",0.25255849127724
"COSMIC_ID_X906839",0.323828087530802
"COSMIC_ID_X906841",-0.218436380276449
"COSMIC_ID_X906842",-1.04272259263023
"COSMIC_ID_X906843",-0.0807794330473436
"COSMIC_ID_X906844",-1.50170121644672
"COSMIC_ID_X906846",0.16780352223774
"COSMIC_ID_X906847",0.479376129432615
"COSMIC_ID_X906848",-0.477402226095706
"COSMIC_ID_X906849",0.164355698594653
"COSMIC_ID_X906851",0.16189717963802
"COSMIC_ID_X906852",0.607719286276356
"COSMIC_ID_X906855",0.00292007010131116
"COSMIC_ID_X906856",-1.25234176129133
"COSMIC_ID_X906861",-0.0967644148168089
"COSMIC_ID_X906862",-1.02433686961104
"COSMIC_ID_X906863",-0.154010053127057
"COSMIC_ID_X906864",-0.276368763906716
"COSMIC_ID_X906865",-0.222509533407507
"COSMIC_ID_X906868",-0.217180650099622
"COSMIC_ID_X906869",0.266072213865657
"COSMIC_ID_X906870",-0.215395304668039
"COSMIC_ID_X906871",-0.829655408455655
"COSMIC_ID_X906872",1.04386706884609
"COSMIC_ID_X906875",0.278359127854506
"COSMIC_ID_X906877",0.519621872568632
"COSMIC_ID_X906999",0.232164696852566
"COSMIC_ID_X907000",-0.973911738537848
"COSMIC_ID_X907042",-1.11767014293889
"COSMIC_ID_X907043",-0.507717487541854
"COSMIC_ID_X907044",-0.319153722516004
"COSMIC_ID_X907045",0.395075105071142
"COSMIC_ID_X907046",-0.340755312030971
"COSMIC_ID_X907047",-0.658791477375558
"COSMIC_ID_X907048",-0.247311161984583
"COSMIC_ID_X907051",0.836325209634817
"COSMIC_ID_X907053",0.129651546989159
"COSMIC_ID_X907055",-0.871617267914944
"COSMIC_ID_X907056",1.0089086351039
"COSMIC_ID_X907057",-0.471210198477371
"COSMIC_ID_X907058",0.0191898209388932
"COSMIC_ID_X907060",-0.391076980500309
"COSMIC_ID_X907061",-0.513502327655404
"COSMIC_ID_X907062",0.355825334157261
"COSMIC_ID_X907063",0.641068212730759
"COSMIC_ID_X907064",0.010551138437132
"COSMIC_ID_X907065",0.574326790044131
"COSMIC_ID_X907066",1.05492883731318
"COSMIC_ID_X907067",-0.388571676036521
"COSMIC_ID_X907068",0.246378808619093
"COSMIC_ID_X907069",0.215155694313532
"COSMIC_ID_X907071",0.423904318695718
"COSMIC_ID_X907072",-0.653803595283744
"COSMIC_ID_X907169",-0.0801620515848131
"COSMIC_ID_X907170",-0.816819959283452
"COSMIC_ID_X907171",-0.633241103314467
"COSMIC_ID_X907172",0.0399595423343171
"COSMIC_ID_X907173",-0.114704315612277
"COSMIC_ID_X907175",-0.697003049387946
"COSMIC_ID_X907176",0.182263123825681
"COSMIC_ID_X907268",-0.266777905671397
"COSMIC_ID_X907269",-0.106057120356711
"COSMIC_ID_X907270",-0.36720055788981
"COSMIC_ID_X907271",0.27006803428051
"COSMIC_ID_X907272",-0.0405579342443924
"COSMIC_ID_X907273",-0.0121150328036306
"COSMIC_ID_X907274",0.604934247014857
"COSMIC_ID_X907275",-0.745065754805528
"COSMIC_ID_X907276",0.992360143952871
"COSMIC_ID_X907277",-0.578809621828316
"COSMIC_ID_X907278",0.586169862330767
"COSMIC_ID_X907279",1.43977546838504
"COSMIC_ID_X907280",0.352541659808905
"COSMIC_ID_X907281",-0.557964208811521
"COSMIC_ID_X907282",0.686200069574645
"COSMIC_ID_X907285",0.425841528597989
"COSMIC_ID_X907286",-0.209796502219727
"COSMIC_ID_X907287",-0.348185818572681
"COSMIC_ID_X907289",-0.16193683257752
"COSMIC_ID_X907290",0.778303217206915
"COSMIC_ID_X907291",-0.652588196198044
